iter	Passed	Remaining
0	0	185
1	1	149
2	2	137
3	2	130
4	3	127
5	3	124
6	4	122
7	5	120
8	5	118
9	6	117
10	6	115
11	7	116
12	8	115
13	8	114
14	9	113
15	9	112
16	10	111
17	10	110
18	11	109
19	12	108
20	12	107
21	13	106
22	13	106
23	14	105
24	14	104
25	15	103
26	16	103
27	16	102
28	17	101
29	17	101
30	18	100
31	19	99
32	19	99
33	20	98
34	20	97
35	21	97
36	21	96
37	22	95
38	23	95
39	23	94
40	24	94
41	24	93
42	25	92
43	25	92
44	26	91
45	27	90
46	27	90
47	28	89
48	28	88
49	29	88
50	30	87
51	30	87
52	31	86
53	31	85
54	32	85
55	32	84
56	33	83
57	34	83
58	34	82
59	35	82
60	35	81
61	36	80
62	36	80
63	37	79
64	38	79
65	38	78
66	39	77
67	39	77
68	40	76
69	40	76
70	41	75
71	42	74
72	42	74
73	43	73
74	43	73
75	44	72
76	45	72
77	45	71
78	46	70
79	46	70
80	47	69
81	47	69
82	48	68
83	49	67
84	49	67
85	50	66
86	50	66
87	51	65
88	52	64
89	52	64
90	53	63
91	53	63
92	54	62
93	54	61
94	55	61
95	56	60
96	56	60
97	57	59
98	57	59
99	58	58
100	59	57
101	59	57
102	60	56
103	60	56
104	61	55
105	62	54
106	62	54
107	63	53
108	63	53
109	64	52
110	64	52
111	65	51
112	66	50
113	66	50
114	67	49
115	67	49
116	68	48
117	68	47
118	69	47
119	70	46
120	70	46
121	71	45
122	71	44
123	72	44
124	73	43
125	73	43
126	74	42
127	74	42
128	75	41
129	75	40
130	76	40
131	77	39
132	77	39
133	78	38
134	78	37
135	79	37
136	79	36
137	80	36
138	81	35
139	81	35
140	82	34
141	82	33
142	83	33
143	84	32
144	84	32
145	85	31
146	85	30
147	86	30
148	86	29
149	87	29
150	88	28
151	88	28
152	89	27
153	89	26
154	90	26
155	91	25
156	91	25
157	92	24
158	92	23
159	93	23
160	94	22
161	94	22
162	95	21
163	95	21
164	96	20
165	96	19
166	97	19
167	98	18
168	98	18
169	99	17
170	99	16
171	100	16
172	100	15
173	101	15
174	102	14
175	102	14
176	103	13
177	103	12
178	104	12
179	105	11
180	105	11
181	106	10
182	106	9
183	107	9
184	107	8
185	108	8
186	109	7
187	109	7
188	110	6
189	110	5
190	111	5
191	112	4
192	112	4
193	113	3
194	113	2
195	114	2
196	114	1
197	115	1
198	116	0
199	116	0
