"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2026","17.57","18.56","19.11","17.44","","-5.33%"
"04/28/2026","18.56","17.63","18.63","17.43","","5.28%"
"04/27/2026","17.63","16.82","18.14","16.52","","4.82%"
"04/24/2026","16.82","16.15","16.94","14.52","","4.15%"
"04/23/2026","16.15","17.03","17.52","15.76","","-5.17%"
"04/20/2026","17.03","14.64","19.09","14.64","","16.33%"
"04/18/2026","14.64","15.29","14.64","14.64","","0.00%"
"04/17/2026","14.64","15.29","16.54","14.54","","-4.25%"
"04/16/2026","15.29","16.14","17.58","15.13","","-5.27%"
"04/15/2026","16.14","18.12","18.23","15.81","","-8.87%"
"04/14/2026","17.71","19.13","19.13","17.07","","-7.42%"
"04/13/2026","19.13","17.31","19.59","17.31","","10.51%"
"04/12/2026","17.31","18.55","17.31","17.31","","0.00%"
"04/10/2026","17.31","18.55","18.61","16.74","","-9.89%"
"04/09/2026","19.21","25.54","25.54","18.68","","-24.78%"
"04/06/2026","25.54","25.12","26.07","24.73","","1.67%"
"04/03/2026","25.12","25.29","25.49","22.96","","-0.67%"
"03/31/2026","25.29","28.05","28.19","25.00","","-9.84%"
"03/30/2026","28.05","27.49","28.83","26.77","","2.04%"
"03/27/2026","27.49","22.23","27.54","22.23","","23.66%"
"03/26/2026","22.23","21.44","22.75","20.93","","3.68%"
"03/25/2026","21.44","20.73","21.77","17.41","","-3.42%"
"03/24/2026","22.20","24.17","28.54","22.13","","0.32%"
"03/23/2026","22.13","16.56","27.58","16.56","","33.64%"
"03/20/2026","16.56","18.79","18.79","13.52","","-11.87%"
"03/19/2026","18.79","19.18","21.55","18.21","","-2.03%"
"03/18/2026","19.18","21.59","22.09","18.90","","-11.16%"
"03/17/2026","21.59","22.90","25.01","20.63","","-5.72%"
"03/16/2026","22.90","22.18","24.85","22.15","","3.25%"
"03/13/2026","22.18","22.11","23.07","20.72","","0.32%"
"03/12/2026","22.11","22.52","24.06","21.71","","0.09%"
"03/11/2026","22.09","22.87","25.37","21.65","","-3.41%"
"03/10/2026","22.87","25.67","26.46","22.55","","-10.91%"
"03/09/2026","25.67","20.74","26.87","20.74","","23.77%"
"03/06/2026","20.74","20.75","21.84","19.79","","-0.05%"
"03/05/2026","20.75","23.77","24.64","20.57","","-12.71%"
"03/04/2026","23.77","23.04","25.06","21.62","","3.17%"
"03/03/2026","23.04","28.14","23.04","23.04","","0.00%"
"03/02/2026","23.04","28.14","28.14","22.21","","-18.12%"
"02/27/2026","28.14","25.90","28.41","25.11","","8.65%"
"02/26/2026","25.90","23.93","26.17","23.93","","8.23%"
"02/25/2026","23.93","24.42","25.08","23.38","","-2.01%"
"02/24/2026","24.42","21.99","24.60","21.99","","11.05%"
"02/23/2026","21.99","20.47","28.87","20.47","","7.43%"
"02/20/2026","20.47","21.93","23.24","17.89","","-6.66%"
"02/19/2026","21.93","19.24","22.31","19.24","","13.98%"
"02/18/2026","19.24","18.13","19.58","17.46","","6.12%"
"02/17/2026","18.13","18.79","19.45","17.40","","7.34%"
"02/16/2026","16.89","18.57","18.74","16.31","","6.16%"
"02/13/2026","15.91","15.78","17.87","15.78","","0.82%"
"02/12/2026","15.78","18.03","18.69","15.18","","-10.70%"
"02/11/2026","17.67","16.43","18.75","16.43","","7.55%"
"02/10/2026","16.43","20.00","20.00","15.86","","-12.88%"
"02/09/2026","18.86","20.79","20.91","17.51","","-12.28%"
